relative_path,status,reason,original_size,optimized_size
360Player_Mono_1361648804113285242/m5_xyz-particle-spritesheets.mp4,kept,reused_existing,20304186,5042376
360Player_Mono_1361648804113285242/m6_events.mp4,kept,reused_existing,51668813,15660992
360_Video_Viewer_1360629006327873747/p2_image.png,kept,reused_existing,8669903,2941611
Alien_Planet_1415309781345894431/m4_image.png,kept,reused_existing,250120,93374
Amanita_1357382776709582919/m2_image.png,kept,reused_existing,1345441,393805
Amanita_1357382776709582919/p5_image.png,kept,reused_existing,329999,126420
Bats_v1_1354922630544621629/m2_image.png,kept,reused_existing,1212687,364293
Book_-_Flip_1427292873358971045/p1_knowledge.webp,kept,reused_existing,21970,21970
Boombox_1459269670980030535/m5_image.png,kept,reused_existing,43145,16627
Builder_Drone_1356446200907432129/m2_xyz-builder-drone-x501.mp4,kept,reused_existing,9767697,4190300
Builder_Drone_1356446200907432129/m5_Screenshot_2025-03-31_205343.png,kept,reused_existing,2110049,791726
Builder_Drone_1356446200907432129/m7_Screenshot_2025-03-31_200800.png,kept,reused_existing,2763239,1261459
Builder_Drone_1356446200907432129/p2_7BF1F0C5-A1B7-4314-B897-43E2666AB7C8.png,kept,reused_existing,2211223,596796
Builder_Drone_1356446200907432129/p6_brave_7aQ5Vf2bpF.mp4,kept,reused_existing,5834375,1108899
Builder_Drone_X501_1356441740357406801/p0_xyz-builder-drone-x501.mp4,kept,reused_existing,9767697,4190300
Builder_Drone_X501_1356505487033499729/m2_7BF1F0C5-A1B7-4314-B897-43E2666AB7C8.png,kept,reused_existing,2211223,596796
Builder_Drone_X501_1356505487033499729/m6_xyz-builder-drone-x501.mp4,kept,reused_existing,9767697,4190300
Builder_Drone_X501_1356505487033499729/p2_brave_7aQ5Vf2bpF.mp4,kept,reused_existing,5834375,1108899
Butterfly_Swarm_V1_1350129252976168992/p0_5000.png,kept,reused_existing,3049466,903875
Butterfly_Swarm_V2a_1350129252976168992/p0_5000.png,kept,reused_existing,3049466,903875
Butterfly_Swarm_V3_1350145314677592157/m1_5000.png,kept,reused_existing,3049466,903875
Butterfly_Swarm_V3_1350145491001802873/m2_5000.png,kept,reused_existing,3049466,903875
Butterfly_Swarm_V6_1354772253396701385/p3_image.png,kept,reused_existing,388410,102333
Butterfly_Swarm_V6_1354772253396701385/p4_image.png,kept,reused_existing,1163524,388285
Butterfly_Swarm_V6_1354772253396701385/p5_image.png,kept,reused_existing,311225,69066
Butterfly_Swarm_V6_Hyperfly_edition2_1355068289964970128/p2_1092aa12-4c83-4fd9-bd55-6704eea2f06e.png,kept,reused_existing,2950306,1042491
Butterfly_Swarm_V6_Hyperfly_edition2_BW_1355068613178167366/p1_1092aa12-4c83-4fd9-bd55-6704eea2f06e.png,kept,reused_existing,2950306,1042491
Butterfly_Swarm_V6_Hyperfly_edition_1354809216753340639/p1_image.png,kept,reused_existing,388410,102333
Butterfly_Swarm_V6_Hyperfly_edition_1354809216753340639/p2_image.png,kept,reused_existing,1163524,388285
Butterfly_Swarm_V6_Hyperfly_edition_1354809216753340639/p3_image.png,kept,reused_existing,311225,69066
CameraLaser_1425737416207110174/p2_cannonballs.mp4,kept,reused_existing,10703186,3459899
CameraManagerTest_1352519146201419816/p0_CameraManagerTest.mp4,kept,reused_existing,23122968,13321289
CameraManager_1352519146201419816/p0_CameraManagerTest.mp4,kept,reused_existing,23122968,13321289
Camera_Trigger_1428031026826842285/m1_IMG_0623.png,kept,reused_existing,1619962,524920
Camera_Trigger_1428031026826842285/m1_IMG_0630.png,kept,reused_existing,1705611,611448
Companion_v8_1354172080924397802/m1_updated_companion.mp4,kept,reused_existing,111053837,16144952
Cube_1_1355371621468209172/m2_xyz-unlinked-uvscroll.mp4,kept,reused_existing,951877,533301
CurvedVid_with_link_input_1363573773185450045/p1_Desktop_2025.04.20_-_20.18.43.04.mp4,kept,reused_existing,376190153,6303056
Curved_Video_Viewer_1360630031814230229/p1_image.png,kept,reused_existing,8669903,2941611
Curved_Video_Viewer_1363490690339831849/m2_UVscroll.mp4,kept,reused_existing,401971,255374
DAY_NIGHT_WEATHER_CURRENT_1364018271719919686/m8_IMG_1182.png,kept,reused_existing,1437170,475224
Emote_Rom_1361914201701875788/m7_VBSprite2.png,kept,reused_existing,313978,91053
Emote_Rom_1361914201701875788/p1_xyz-particle-fire-trails.mp4,kept,reused_existing,7082273,2991414
Emote_Rom_1361914201701875788/p5_xyz-particles-by-distance.mp4,kept,reused_existing,15342176,4843063
Explosion_Sprites_1361904724433174649/m1_xyz-particle-demos_2_-_edit.mp4,kept,reused_existing,51165671,22376201
FTV_1361768826902941913/p0_ww.mp4,kept,reused_existing,86816095,28373571
Fire_1361904724433174649/m1_xyz-particle-demos_2_-_edit.mp4,kept,reused_existing,51165671,22376201
Fog_1361904724433174649/m1_xyz-particle-demos_2_-_edit.mp4,kept,reused_existing,51165671,22376201
Forest_1443613740150034512/m1_forest-gen.mp4,kept,reused_existing,32546223,8567260
Framed_Image_v1.0_1434190157220806658/p0_FramedImage.jpg,kept,reused_existing,53809,44469
Framed_Image_v1.0_1434190157220806658/p2_image.png,kept,reused_existing,699417,118858
Framed_Image_v1.0_1434190157220806658/p2_image_1434229080131113070.png,kept,reused_existing,873415,250454
Game_Timer_1353704858338984058/p0_timer.mp4,kept,reused_existing,2031536,172136
Glow_Dust_1361904724433174649/m1_xyz-particle-demos_2_-_edit.mp4,kept,reused_existing,51165671,22376201
Grass_V1_1359167521789448234/p4_image.png,kept,reused_existing,3971733,1193416
Grass_V3_1360243980150902917/m1_Play_-_Google_Chrome_11.04.2025_15_22_23.png,kept,reused_existing,1956945,502226
Healing_Aura_1361904724433174649/m1_xyz-particle-demos_2_-_edit.mp4,kept,reused_existing,51165671,22376201
Health_1339121960759721996/p0_Rover_Ships_and_Loot_Planets_in_Hyperfy.mp4,kept,reused_existing,11754131,4337472
Health_1339121960759721996/p0_vt01.png,kept,reused_existing,351661,91763
Health_1339121960759721996/p0_vt02.png,kept,reused_existing,263614,70501
HyperBeacon_v2_1337234426395889747/m1_spatial_relay_example.png,kept,reused_existing,122030,35747
HyperPortal_with_Set_Manual_1352439458317865070/p1_image.png,kept,reused_existing,2952364,673447
HyperPortal_with_Set_Manual_1352439458317865070/p8_matt-marshall-sideview-1.png,kept,reused_existing,2678679,543008
Locationator_1363448335117193418/p0_image.png,kept,reused_existing,1934544,832327
